               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  13,            0.093423,           0.0051478,                   0,             0.47181,              0.2522,             0.66667,             0.25513,            0.062179,            0.088608,           0.0055133,                   0,             0.39625,          0.00026258,          0.00026258,            0.040163
                  14,            0.094615,           0.0046725,                   0,             0.43198,             0.16815,             0.91667,             0.19275,            0.050685,            0.087632,           0.0054328,                   0,             0.39076,           0.0002753,           0.0002753,            0.035875
                  15,            0.096984,           0.0045669,                   0,             0.43925,              0.1688,             0.80952,             0.17042,            0.046423,             0.08738,           0.0056095,                   0,             0.39881,          0.00028686,          0.00028686,            0.031587
                  16,            0.095463,           0.0044488,                   0,             0.41952,             0.19558,             0.90476,             0.22686,            0.061685,            0.087591,           0.0053731,                   0,              0.3917,          0.00029723,          0.00029723,            0.027297
                  17,            0.096496,           0.0043491,                   0,             0.40546,             0.15926,             0.80952,              0.2151,            0.068049,            0.087715,           0.0053258,                   0,             0.38036,          0.00030638,          0.00030638,            0.023006
                  18,            0.097407,            0.004405,                   0,             0.48048,             0.11825,             0.30952,             0.10077,            0.018537,             0.08816,           0.0092528,                   0,             0.59145,          0.00031429,          0.00031429,            0.018714
                  19,             0.09559,           0.0060866,                   0,              2.8133,           0.0056749,             0.33333,            0.004314,          0.00095869,             0.10882,              4057.2,                   0,              4031.9,          0.00032094,          0.00032094,            0.014421
                  20,            0.091762,           0.0080683,                   0,              2.8429,           0.0037627,             0.40476,           0.0029142,          0.00058361,             0.10387,              347.09,                   0,              278.96,          0.00032635,          0.00032635,            0.010126
                  21,            0.084006,            0.008667,                   0,             0.72631,            0.023344,             0.22619,            0.013341,           0.0029014,            0.097681,             0.87283,                   0,              4.5552,           0.0003305,           0.0003305,           0.0058305
                  22,            0.079838,           0.0085663,                   0,             0.58477,             0.15403,             0.27381,              0.1304,            0.024158,            0.086982,            0.027444,                   0,              1.0648,          0.00033343,          0.00033343,           0.0015334
                  23,            0.078221,           0.0085389,                   0,             0.48228,             0.10485,             0.72619,            0.091078,            0.017345,            0.070348,            0.015643,                   0,             0.50918,          0.00032507,          0.00032507,          0.00032507
                  24,            0.075357,             0.00854,                   0,             0.45113,             0.33503,             0.60714,             0.24771,            0.076711,            0.061922,            0.013927,                   0,             0.40571,          0.00032507,          0.00032507,          0.00032507
                  25,             0.07105,           0.0087065,                   0,             0.44005,             0.50318,             0.72619,             0.47294,             0.12681,            0.060923,            0.012826,                   0,              0.3959,          0.00031256,          0.00031256,          0.00031256
                  26,            0.069028,            0.008771,                   0,             0.43494,             0.57927,             0.77381,             0.54373,              0.1744,            0.064425,            0.011175,                   0,             0.39044,              0.0003,              0.0003,              0.0003
                  27,            0.072473,           0.0082619,                   0,             0.43598,             0.69701,             0.71205,             0.63344,             0.18471,            0.064535,            0.010422,                   0,             0.39172,          0.00028744,          0.00028744,          0.00028744
                  28,            0.069468,           0.0083783,                   0,             0.43759,             0.65148,             0.58333,             0.48582,             0.10627,            0.057283,            0.011297,                   0,             0.38934,          0.00027493,          0.00027493,          0.00027493
                  29,            0.068676,           0.0084754,                   0,             0.43604,             0.68605,             0.78571,             0.65955,             0.18855,            0.058031,            0.010919,                   0,             0.38337,          0.00026252,          0.00026252,          0.00026252
                  30,            0.068583,           0.0082981,                   0,             0.43693,              0.5175,             0.70238,              0.5004,             0.13055,            0.058195,             0.01052,                   0,             0.38084,          0.00025026,          0.00025026,          0.00025026
                  31,            0.068842,           0.0082418,                   0,             0.44241,             0.68436,             0.71429,             0.66161,             0.24193,            0.058483,            0.010423,                   0,              0.3894,           0.0002382,           0.0002382,           0.0002382
                  32,            0.064152,           0.0083246,                   0,             0.43667,             0.69563,             0.76181,             0.67643,             0.22339,            0.055174,             0.01065,                   0,              0.3883,          0.00022638,          0.00022638,          0.00022638
                  33,            0.062725,           0.0083413,                   0,             0.47089,              0.7852,             0.78333,             0.72712,             0.29605,            0.055021,            0.010227,                   0,             0.38531,          0.00021484,          0.00021484,          0.00021484
                  34,            0.060853,           0.0083718,                   0,             0.43399,             0.81905,             0.80952,             0.77438,             0.26632,            0.053512,             0.01033,                   0,             0.38663,          0.00020365,          0.00020365,          0.00020365
                  35,            0.061531,           0.0081946,                   0,             0.43374,             0.81489,             0.84524,             0.81322,             0.29766,            0.054997,            0.010167,                   0,             0.38764,          0.00019283,          0.00019283,          0.00019283
                  36,            0.061067,           0.0080431,                   0,             0.42908,             0.79062,             0.80917,             0.77362,             0.29992,            0.053082,            0.010506,                   0,             0.38834,          0.00018244,          0.00018244,          0.00018244
                  37,             0.05874,           0.0081312,                   0,             0.42616,             0.87306,              0.8188,             0.79003,             0.30986,            0.054054,            0.010484,                   0,             0.38786,          0.00017252,          0.00017252,          0.00017252
                  38,            0.059965,           0.0081353,                   0,             0.43179,             0.84939,             0.80571,             0.79207,             0.32341,            0.052964,            0.010325,                   0,             0.38623,          0.00016309,          0.00016309,          0.00016309
                  39,              0.0583,           0.0081186,                   0,             0.43326,                0.85,             0.84524,             0.80337,             0.24899,            0.055389,           0.0097555,                   0,             0.38596,          0.00015421,          0.00015421,          0.00015421
                  40,            0.057959,           0.0080041,                   0,             0.43902,             0.77105,              0.7619,             0.73251,             0.23829,            0.052515,           0.0099428,                   0,             0.38358,           0.0001459,           0.0001459,           0.0001459
                  41,            0.056619,           0.0079748,                   0,             0.42851,             0.87452,             0.83333,             0.83632,             0.26636,            0.050811,           0.0099453,                   0,             0.38278,           0.0001382,           0.0001382,           0.0001382
                  42,            0.056949,           0.0080034,                   0,             0.42846,             0.85688,             0.85533,             0.84046,             0.27467,            0.051067,           0.0099213,                   0,             0.38311,          0.00013113,          0.00013113,          0.00013113
                  43,            0.057305,           0.0079697,                   0,             0.43527,             0.78348,             0.86905,             0.81817,             0.30181,            0.050233,           0.0099564,                   0,             0.38582,          0.00012474,          0.00012474,          0.00012474
                  44,            0.054405,           0.0080757,                   0,             0.44034,             0.80922,             0.80796,             0.77001,             0.20789,             0.05193,           0.0096649,                   0,             0.38543,          0.00011903,          0.00011903,          0.00011903
                  45,            0.054995,            0.007971,                   0,             0.42735,             0.80663,             0.80952,             0.77815,             0.26172,            0.049017,           0.0098759,                   0,              0.3837,          0.00011404,          0.00011404,          0.00011404
                  46,            0.054706,            0.008086,                   0,             0.43212,             0.81916,              0.8089,             0.79466,             0.23477,            0.049048,           0.0099017,                   0,             0.38222,          0.00010979,          0.00010979,          0.00010979
                  47,            0.054655,           0.0080529,                   0,               0.428,             0.88328,             0.83333,             0.85102,             0.29997,            0.049126,           0.0099251,                   0,             0.38221,          0.00010628,          0.00010628,          0.00010628
                  48,            0.054082,            0.007985,                   0,             0.42749,             0.82491,             0.78571,             0.77494,              0.2777,            0.048994,           0.0099499,                   0,             0.38254,          0.00010354,          0.00010354,          0.00010354
                  49,            0.054413,           0.0079892,                   0,             0.42843,             0.82402,             0.89193,             0.85896,             0.34658,            0.049018,           0.0099469,                   0,             0.38158,          0.00010158,          0.00010158,          0.00010158
